ccc,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,등록일,수정일,자료상태,소장처,반납예정일,화폐구분,입수구분,가격,isbn,sortnum,tag1,tag2,tag3,g_tag,s_tag
1,단행본,OKYA014617,네가 되어 줄게,조남주,문학동네,2024,813.6 조192ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,12500,9791141600945,813,⚫ 문학,🇰🇷 한국,📔 소설,,
2,단행본,OKYA014616,한국인은 참지 않아,신서현 글 | 엄주 그림,풀빛,2024,911 신54ㅎ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791194636106,911,🟤 역사,🌏 아시아,🪭 한국,,
3,단행본,OKYA014615,최초의 아이,로이스 로리 글 | 강나은 옮김,비룡소,2024,843 로298ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9788949123561,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
4,단행본,OKYA014614,(청소년을 위한)쇄미록,오희문 글 | 서윤희 풀어씀,사회평론아카데미,2024,911.0553 오97ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17500,9791167071422,911,🟤 역사,🌏 아시아,🪭 한국,,
5,단행본,OKYA014613,채널명은 비밀입니다,전수경,창비,2024,813.6 전56ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9788936457297,813,⚫ 문학,🇰🇷 한국,📔 소설,,
6,단행본,OKYA014612,지금처럼 살려면 몇 개의 지구가 필요할까?,오승현 글 | 황정하 그림,개암나무,2024,331.544 오57ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9788968308383,331,⚪ 사회과학,🌐 사회,🧑‍🤝‍🧑 사회학,,
7,단행본,OKYA014611,좋아한다는 거짓말,허진희,위즈덤하우스,2024,813.6 허78ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791171712830,813,⚫ 문학,🇰🇷 한국,📔 소설,,
8,단행본,OKYA014610,점퍼,고정욱,생각학교,2024,813.6 고74ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13500,9791193811252,813,⚫ 문학,🇰🇷 한국,📔 소설,,
9,단행본,OKYA014609,의대 합격 따라 하기,이해웅,타임북스,2024,377.37 이93ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791193794906,377,🔵 총류,📝 대학입시,,,
10,단행본,OKYA014608,(비문학과 통합과학을 준비하는)요즘 청소년을 위한 화학의 쓸모,정병진,청어람미디어,2024,430 정44ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791158712624,430,🟢 자연과학,🧪 화학,📦 교양•기타,,
11,단행본,OKYA014607,썸 타는 수학,임청,초록비책공방,2024,410 임83ㅆ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193296967,410,🟢 자연과학,🔢 수학,📦 교양•기타,,
12,단행본,OKYA014606,심판자들,이선주,책폴,2025,813.6 이54ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791193162316,813,⚫ 문학,🇰🇷 한국,📔 소설,,
13,단행본,OKYA014605,식량이 부족한 세상이 온다면,진중현•박현승 글 | 이혜원 그림,풀빛,2024,522.7 진76ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9791161729664,522,🟡 기술과학,🌾 농업,🪙 농업경제,,
14,단행본,OKYA014604,속삭임의 바다,팀 보울러 글 | 서민아 옮김,다산책방,2024,843 보66ㅅ c.2,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791130658506,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
15,단행본,OKYA014603,빌런은 바로 너,소향•박애진•김이환•정명섭,우주나무,2024,813.6 소93ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791193152270,813,⚫ 문학,🇰🇷 한국,📔 소설,,
16,단행본,OKYA014602,불편한 질문들이 사회를 발전시킨다고?,오찬호 글 | 조원희 그림,비룡소,2024,330 오82ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9788949153667,330,⚪ 사회과학,🌐 사회,📦 교양•기타,,
17,단행본,OKYA014601,바다의 미래가 사막이라면,김종성,다른,2024,454 김75ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791156336341,454,🟢 자연과학,🌏 지구과학,🌊 해양,,
18,단행본,OKYA014600,(미래 세대를 위한)건축과 기후 위기 이야기,서윤영,철수와영희,2024,540 서66ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791171530175,540,🟡 기술과학,🧱 토목•건축공학,📐 건축공학,,
19,단행본,OKYA014599,너의 꿈에도 내가 나오는지,김지현,우리학교,2024,813.6 김78ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791167552877,813,⚫ 문학,🇰🇷 한국,📔 소설,,
20,단행본,OKYA014598,"내 이름은 낫짱, 김하강입니다",김송이 글 | 김두현 그림,보리,2024,813.6 김55ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791163143758,813,⚫ 문학,🇰🇷 한국,📔 소설,,
21,단행본,OKYA014597,과학 크리에이터가 되는 상상 어때?,김정훈•이다혜,창비,2024,372.68 김74ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9788936453282,372,⚪ 사회과학,🎓 교육,🏢 교육행정,,
22,단행본,OKYA014596,파타고니아 인사이드,이본 쉬나드•빈센트 스탠리 글 | 이영래 옮김,라이팅하우스,2024,325.1 쉬192ㅍ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,20000,9791193081099,325,⚪ 사회과학,💰 경제,🧑‍💼 경영,,
23,단행본,OKYA014595,칭찬이 불편한 사람들,가나마 다이스케 글 | 김지윤 옮김,포레스트북스,2024,331.234 가192ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193506875,331,⚪ 사회과학,🌐 사회,🧑‍🤝‍🧑 사회학,,
24,단행본,OKYA014594,(창작자를 위한)지브리 스토리텔링,이누해,동녘,2024,802.06 이196ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9788972971474,802,⚫ 문학,✏️ 작법•수사학,,,
25,단행본,OKYA014593,제로의 늦여름,이와이 슌지 글 | 홍은주 옮김,김영사,2024,833.6 이65ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791194330486,833,⚫ 문학,🇯🇵 일본,📔 소설,,
26,단행본,OKYA014592,자세를 펴면 인생이 펴집니다,송영민,퍼스트펭귄,2024,517.32 송64ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,21000,9791198682598,517,🟡 기술과학,🩺 의학,😷 건강•공중보건,,
27,단행본,OKYA014591,은퇴 프로젝트 메리골드를 구하라,박상금,황소걸음,2024,327.04 박52ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791186821954,327,⚪ 사회과학,💰 경제,💰 금융,,
28,단행본,OKYA014590,운동하는 사피엔스,대니얼 리버먼 글 | 왕수민 옮김,프시케의숲,2024,517.32 리44ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,26800,9791189336752,517,🟡 기술과학,🩺 의학,😷 건강•공중보건,,
29,단행본,OKYA014589,복수의 여신,마거릿 애트우드 글 | 이수영 옮김,현대문학,2024,843 애887ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17500,9791167902702,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
30,단행본,OKYA014588,번아웃을 지나 점점 푸르게,김은지,이야기나무,2024,818 김67ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791185860695,818,⚫ 문학,🇰🇷 한국,💾 기록문학•기타,,
31,단행본,OKYA014587,모우어,천선란,문학동네,2024,813.6 천54ㅁ c.5,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791141601447,813,⚫ 문학,🇰🇷 한국,📔 소설,,
32,단행본,OKYA014586,"명화의 발견, 그때 그 사람",성수영,한경arte,2024,650.4 성56ㅁ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,21000,9788947549813,650,🔴 예술,🎨 회화•디자인,📦 교양•기타,,
33,단행본,OKYA014585,때로는 개가 사람보다 낫다,이종묵,돌베개,2024,810.829 이75ㄸ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18500,9791192836942,810,⚫ 문학,🇰🇷 한국,📜 갈래설명,,
34,단행본,OKYA014584,도플갱어,나오미 클라인 글 | 류진오 옮김,글항아리,2024,340.942 클292ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,28000,9791169093149,340,⚪ 사회과학,🏛️ 정치,📦 교양•기타,,
35,단행본,OKYA014583,도파민 디톡스,애나 렘키 글 | 고빛샘 옮김,흐름,2024,181.71 렘878ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,24000,9788965966647,181,🟢 철학,🧠 심리학,💓 감정•생각,,
36,단행본,OKYA014582,더 디너,헤르만 코흐 글 | 강명순 옮김,민음사,2024,859.3 코97ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9788937445910,859,⚫ 문학,🇩🇪 독일,🍺 기타 게르만 문학,,
37,단행본,OKYA014581,대한민국 순례길 여행,이준휘,덕주,2024,981.102 이76ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791198814630,981,🟤 역사,🗺️ 지리,🌏 아시아,,
38,단행본,OKYA014580,다운이는 콩다콩,이다운,용감한까치,2024,818 이22ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791191994322,818,⚫ 문학,🇰🇷 한국,💾 기록문학•기타,,
39,단행본,OKYA014579,가장 젊은 날의 철학,이충녕,북스톤,2024,199.1 이85ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18800,9791193063705,199,🟢 철학,🕊️ 윤리•도덕,✨ 교훈,,
40,단행본,OKYA014578,홀로 함께,정은귀,민음사,2024,814.6 정67ㅎ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9788937477041,814,⚫ 문학,🇰🇷 한국,📝 수필,,
41,단행본,OKYA014577,하마터면 지리도 모르고 세계여행할 뻔했다,강이석,북트리거,2024,980.24 강68ㅎ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193378281,980,🟤 역사,🗺️ 지리,📦 교양•기타,,
42,단행본,OKYA014576,(청소년이 함께 살아야 할)로봇과 AI,전승민,매경주니어북스,2024,559.962 전57ㄹ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791164847242,559,🟡 기술과학,⚙️ 기계공학,🤖 로봇공학,,
43,단행본,OKYA014575,(지속가능한 세상을 위한)슬기로운 소비생활,장성익,이상북스,2024,539.9 장54ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791194144021,539,🟡 기술과학,🧱 토목•건축공학,🏙️ 도시•환경공학,,
44,단행본,OKYA014574,지명여중 추리소설 창작반,김하연,특별한서재,2024,813.6 김92ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791167031358,813,⚫ 문학,🇰🇷 한국,📔 소설,,
45,단행본,OKYA014573,조선으로 온 카스테라,한정영,다른,2024,813.6 한74ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791156336365,813,⚫ 문학,🇰🇷 한국,📔 소설,,
46,단행본,OKYA014572,유튜브가 우리에게 없었다면,주형일,다른,2024,321.55 주94ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791156336426,321,⚪ 사회과학,💰 경제,📦 교양•기타,,
47,단행본,OKYA014571,안용복 재판정 참관기,김흥식 글 | 위수연 그림,서해문집,2024,911.056 김97ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14500,9791192988948,911,🟤 역사,🌏 아시아,🪭 한국,,
48,단행본,OKYA014570,생물다양성 쫌 아는 10대 ,김성호 글 | 도아마 그림,풀빛,2024,472.5 김54ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9791161729671,472,🟢 자연과학,🧬 생명과학,⚗️ 생물학,,
49,단행본,OKYA014569,살인자의 아들입니다,탁경은,책폴,2024,813.6 탁14ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791193162354,813,⚫ 문학,🇰🇷 한국,📔 소설,,
50,단행본,OKYA014568,루시드 드림 ,강은지,창비,2024,813.6 강67ㄹ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9788936457303,813,⚫ 문학,🇰🇷 한국,📔 소설,,
51,단행본,OKYA014567,다시 쓰는 수학의 역사,케이트 기타가와 | 티머시 레벨 글 | 이충호 옮김,서해문집,2024,410.9 기882ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791192988917,410,🟢 자연과학,🔢 수학,📦 교양•기타,,
52,단행본,OKYA014566,다가오는 영화들,라제기,북트리거,2024,688.09 라74ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791193378298,688,🔴 예술,🎥 공연•매체예술,🎬 영화,,
53,단행본,OKYA014565,내 맘에 드는 내가 되고 싶어,혼다 히데오 글 | 우민정 옮김,오유아이,2024,183.2 히24ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,11000,9791157823055,183,🟢 철학,🧠 심리학,🌱 발달심리학,,
54,단행본,OKYA014564,나의 로스 앤젤레스,이근미,미래인,2024,813.6 이17ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9788983949882,813,⚫ 문학,🇰🇷 한국,📔 소설,,
55,단행본,OKYA014563,나와 너 사이에서 철학하다,다나카 마치 글 | 최진영 그림 | 이소담 옮김,위즈덤하우스,2024,104 다192ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14800,9791171712908,104,🟢 철학,📝 강연•수필•연설문집,,,
56,단행본,OKYA014562,너의 여름에 내가 닿을게,안세화,창비교육,2024,813.6 안54ㄴ c.2,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14500,9791165702670,813,⚫ 문학,🇰🇷 한국,📔 소설,,
57,단행본,OKYA014561,가짜 진짜 목격담,김혜진,뜨인돌,2024,813.6 김94ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,11000,9788958070702,813,⚫ 문학,🇰🇷 한국,📔 소설,,
58,단행본,OKYA014560,정의 수업,라이언 홀리데이 글 | 이경희 옮김,다산초당,2024,199.1 홀298ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19800,9791130662282,199,🟢 철학,🕊️ 윤리•도덕,✨ 교훈,,
59,단행본,OKYA014559,"(오늘도 돌아갑니다,)풍진동 LP가게",임진평•고희은,다산북스,2024,813.6 임78ㅍ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791130657820,813,⚫ 문학,🇰🇷 한국,📔 소설,,
60,단행본,OKYA014558,예언자의 노래,폴 린치 글 | 허진 옮김,은행나무,2024,843 린86ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791167374929,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
61,단행본,OKYA014557,에이징 혁명,하야노 모토시 글 | 박유미 옮김,시그마북스,2024,511.1689 하63ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791168623026,511,🟡 기술과학,🩺 의학,🧭 기초,,
62,단행본,OKYA014556,생활체육과 시,김소연,아침달,2024,814.6 김55ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791194324119,814,⚫ 문학,🇰🇷 한국,📝 수필,,
63,단행본,OKYA014555,새들이 남쪽으로 가는 날 ,리사 리드센 글 | 손화수 옮김,북파머스,2024,859.7 리27ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19500,9791193937372,859,⚫ 문학,🇩🇪 독일,🍺 기타 게르만 문학,,
64,단행본,OKYA014554,비커밍 어스,페리스 제이버 글 | 김승진 옮김,생각의힘,2024,450 제68ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791193166727,450,🟢 자연과학,🌏 지구과학,📦 교양•기타,,
65,단행본,OKYA014553,무의식은 어떻게 나를 설계하는가,데이비드 이글먼 글 | 김승욱 옮김,RHK알에이치코리아,2024,511.1813 이17ㅁ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,25000,9788925574394,511,🟡 기술과학,🩺 의학,🧭 기초,,
66,단행본,OKYA014552,라이프 임파서블,매트 헤이그 글 | 노진선 옮김,인플루엔셜,2024,843 헤68ㄹ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791168342477,843,⚫ 문학,🇬🇧🇺🇸 영미,📔 소설,,
67,단행본,OKYA014551,동물 인터넷,마르틴 비켈스키 글 | 박래선 옮김,H(휴머니스트출판그룹),2024,491.51 비874ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,21000,9791170872641,491,🟢 자연과학,🐵 동물학,🧭 기초,,
68,단행본,OKYA014550,데미안 프로젝트,정여울,Creta(크레타),2024,853.09 정64ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791192742380,853,⚫ 문학,🇩🇪 독일,📔 소설,,
69,단행본,OKYA014549,나는 그림을 보며 어른이 되었다,이유리,수오서재,2024,650.4 이66ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193238455,650,🔴 예술,🎨 회화•디자인,📦 교양•기타,,
70,단행본,OKYA014548,굿 라이프,이냐키 아발로스 글 | 엄지영 옮김,이유출판,2024,549.7 아42ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,24000,9791189534578,549,🟡 기술과학,🧱 토목•건축공학,🏢 건물,,
71,단행본,OKYA014547,괴테 할머니의 인생 수업,전영애 글 | 최경은 정리,문학동네,2024,199.1 전64ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791141608453,199,🟢 철학,🕊️ 윤리•도덕,✨ 교훈,,
72,단행본,OKYA014546,호시탐탐,김보통 외,창비,2024,342.1 김45ㅎ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19000,9788936480639,342,⚪ 사회과학,🕊️ 인권,,,
73,단행본,OKYA014545,최애를 구하라,이담,다른,2024,813.6 이22ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791156336525,813,⚫ 문학,🇰🇷 한국,📔 소설,,
74,단행본,OKYA014544,(재밌어서 밤새 읽는)고사성어 이야기. 1,박은철,더숲,2024,713.4 박67ㄱ v.1,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791194273103,713,🔵 언어,🇰🇷 한국어,📔 사전,,
75,단행본,OKYA014543,왜 우리는 차별과 혐오에 지배당하는가?,이라영 외,철수와영희,2024,334.2 이292ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791171530205,334,⚪ 사회과학,🌐 사회,📣 사회문제,,
76,단행본,OKYA014542,오늘의 아이돌,김혜정 글 | BF. 그림,김영사,2024,813.7 김94ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14800,9788934910527,813,⚫ 문학,🇰🇷 한국,📔 소설,,
77,단행본,OKYA014541,베아,이희영,위즈덤하우스,2025,813.6 이97ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14500,9791171713585,813,⚫ 문학,🇰🇷 한국,📔 소설,,
78,단행본,OKYA014540,(미래 세대를 위한)동학 농민 혁명 이야기,김삼웅 글 | 방승조 그림,철수와영희,2024,911.059 김52ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9791171530212,911,🟤 역사,🌏 아시아,🪭 한국,,
79,단행본,OKYA014539,돈의 모든 것,김성호 글 | 박상훈 그림,천개의바람,2024,327.2 김54ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9791165735821,327,⚪ 사회과학,💰 경제,💰 금융,,
80,단행본,OKYA014538,녹일 수 있다면,임고을,H,2024,813.6 임15ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791167902788,813,⚫ 문학,🇰🇷 한국,📔 소설,,
81,단행본,OKYA014537,남극 펭귄 생포 작전,허관,비룡소,2024,813.6 허15ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16000,9788949123578,813,⚫ 문학,🇰🇷 한국,📔 소설,,
82,단행본,OKYA014536,"나의 또다른 이름, 중간 인류",임태리 글 | 스갱 그림,풀빛,2024,813.6 임883ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13000,9791161729732,813,⚫ 문학,🇰🇷 한국,📔 소설,,
83,단행본,OKYA014535,(나의 두 번째 교과서×)궤도의 다시 만난 과학,궤도•송영조,페이지2북스,2024,404 궤25ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19800,9791169851121,404,🟢 자연과학,📝 강연•수필•연설문집,,,
84,단행본,OKYA014534,나를 위한 첫 번째 환경수업,황동수•황지영,더퀘스트,2025,539.9 황25ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17000,9791140711628,539,🟡 기술과학,🧱 토목•건축공학,🏙️ 도시•환경공학,,
85,단행본,OKYA014533,그게 너라면,이은용,문학동네,2024,813.6 이67ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,13500,9791141608576,813,⚫ 문학,🇰🇷 한국,📔 소설,,
86,단행본,OKYA014532,IT 유망직업 100,길벗정보연구회,길벗,2024,321.55 길44ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19800,9791140714254,321,⚪ 사회과학,💰 경제,📦 교양•기타,,
87,단행본,OKYA014531,책을 쓰는 과학자들,브라이언 클레그 글 | 제효영 옮김,을유문화사,2025,409 클294ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,26000,9788932475332,409,"🟢 자연과학, 🟤 역사",🧭 과학사,,,
88,단행본,OKYA014530,(지리로 다시 읽는)자본주의 세계사,이동민,갈매나무,2025,909 이25ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19500,9791191842784,909,🟤 역사,🌐 세계사,,,
89,단행본,OKYA014529,작별의 현,강민영,네오픽션,2025,813.6 강38ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791157404483,813,⚫ 문학,🇰🇷 한국,📔 소설,,
90,단행본,OKYA014528,우리는 영화의 한 장면에만 나오지만,현장 과학수사관 28명,고즈넉이엔티,2024,818 현72ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791163166535,818,⚫ 문학,🇰🇷 한국,💾 기록문학•기타,,
91,단행본,OKYA014527,어웨이킹,김세직,중앙books,2024,181.53 김54ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,20000,9788927880769,181,🟢 철학,🧠 심리학,💓 감정•생각,,
92,단행본,OKYA014526,어딘가엔 나의 서점이 있다,마리야 이바시키나 글 | 일리야 벨랴코프 옮김,윌북,2024,013.33 이42ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,19800,9791155817773,013,🔵 총류,📜 서지학,📦 출판•판매,,
93,단행본,OKYA014525,애프터 넷플릭스,조영신,21세기북스,2025,326.78 조64ㅇ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791171179671,326,⚪ 사회과학,💰 경제,🎯 상업•기획•마케팅,,
94,단행본,OKYA014524,사랑 없이 우리가 법을 말할 수 있을까,천수이,부키,2025,360.04 천56ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791193528433,360,⚪ 사회과학,⚖️ 법,📦 교양•기타,,
95,단행본,OKYA014523,불멸의 호르몬,안철우,시공사,2024,517.52 안83ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,33000,9791171257768,517,🟡 기술과학,🩺 의학,😷 건강•공중보건,,
96,단행본,OKYA014522,"다시, 리더란 무엇인가 ",모식 템킨 글 | 왕수민 옮김,어크로스,2024,325.24 템878ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791167741783,325,⚪ 사회과학,💰 경제,🧑‍💼 경영,,
97,단행본,OKYA014521,다만 여행자가 될 수 있다면,박완서,문학동네,2025,814.6 박65ㄷ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9791141601706,814,⚫ 문학,🇰🇷 한국,📝 수필,,
98,단행본,OKYA014520,기후 상처,김현수•신샘이•이용석,클라우드나인,2025,539.9 김94ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,20000,9791194534013,539,🟡 기술과학,🧱 토목•건축공학,🏙️ 도시•환경공학,,
99,단행본,OKYA014519,기록이라는 세계,리니,더퀘스트,2025,325.211 리198ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,17700,9791140711970,325,⚪ 사회과학,💰 경제,🧑‍💼 경영,,
100,단행본,OKYA014518,금지된 일기장,알바 데 세스페데스 글 | 김지우 옮김,한길사,2025,883 세57ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9788935678907,883,⚫ 문학,🇮🇹 이탈리아,🎭 희곡,,
101,단행본,OKYA014517,균형 잡힌 뇌,권택영,글항아리,2025,181.3 권883ㄱ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,18000,9791169093415,181,🟢 철학,🧠 심리학,💓 감정•생각,,
102,단행본,OKYA014516,폴란드의 비밀 양육원,장경선,다른,2024,813.6 장14ㅍ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,14000,9791156336587,813,⚫ 문학,🇰🇷 한국,📔 소설,,
103,단행본,OKYA014515,큐브,보린,창비교육,2024,813.6 보298ㅋ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791165702922,813,⚫ 문학,🇰🇷 한국,📔 소설,,
104,단행본,OKYA014514,처음 문화인류학,이희수,봄마중,2024,389 이97ㅊ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791192595962,389,⚪ 사회과학,🏺 풍습•인류학,🧑‍🤝‍🧑 문화인류학,,
105,단행본,OKYA014513,정신적 승리,김송은,스피리투스,2025,813.6 김55ㅈ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15800,9788997870882,813,⚫ 문학,🇰🇷 한국,📔 소설,,
106,단행본,OKYA014512,(읽자마자 보이는)세계지리 사전,이찬희,보누스,2025,980.3 이82ㅅ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,16800,9788964947333,980,🟤 역사,🗺️ 지리,📦 교양•기타,,
107,단행본,OKYA014511,나나 올리브에게,루리,문학동네,2025,813.8 루298ㄴ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15000,9791141614072,813,⚫ 문학,🇰🇷 한국,📔 소설,,
108,단행본,OKYA014510,바다의 천재들,빌 프랑수아 글 | 발랑틴 플레시 그림 | 이충호 옮김,해나무,2024,477.3 프292ㅂ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,22000,9791164052950,477,🟢 자연과학,🧬 생명과학,🏞️ 생물지리학,,
109,단행본,OKYA014509,리무진의 여름,권석,＆(앤드),2024,813.6 권54ㄹ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,15800,9791166839634,813,⚫ 문학,🇰🇷 한국,📔 소설,,
110,단행본,OKYA014508,록산느를 위한 발라드,에드몽 로스탕 원작 | 김태형 각색,제철소,2024,862 로57ㄹ,2025-12-11,2025-12-11,대출가능,도서관,,￦,구입,20000,9791188343775,862,⚫ 문학,🇫🇷 프랑스,🎭 희곡,,
